mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.1588918368021647,0.00033552044632038447,0.010591348012288412,4.657096016509323e-05,300,2,sqrt,,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': None}",0.08333333333333333,0.2222222222222222,0.4444444444444444,0.25,0.14872572596489825,8
0.15956727663675943,0.000353087603524127,0.010629494984944662,6.810188820234123e-05,300,1,1.0,,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 1, 'clf__max_features': 1.0, 'clf__max_depth': None}",0.1111111111111111,0.2222222222222222,0.4444444444444444,0.25925925925925924,0.13857990321384966,3
0.15817507108052573,0.0003288091199965053,0.010579983393351236,6.412952588970033e-05,300,1,1.0,2,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 1, 'clf__max_features': 1.0, 'clf__max_depth': 2}",0.1111111111111111,0.2222222222222222,0.43333333333333335,0.25555555555555554,0.13364161890865717,7
0.1615278720855713,0.004287341665844784,0.010722875595092773,0.00010288141548596431,300,1,1.0,3,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 1, 'clf__max_features': 1.0, 'clf__max_depth': 3}",0.1111111111111111,0.2222222222222222,0.4444444444444444,0.25925925925925924,0.13857990321384966,3
0.16300813357035318,0.00039347215893490567,0.01087045669555664,9.819507803415462e-05,300,1,sqrt,,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': None}",0.0,0.2222222222222222,0.43333333333333335,0.21851851851851853,0.176926976481425,20
0.05580433209737142,0.0007182001421088488,0.0050779978434244795,0.0006959683581047768,100,2,1.0,2,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 2, 'clf__max_features': 1.0, 'clf__max_depth': 2}",0.0,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.18144368465060579,14
0.05492862065633138,0.0002531294544330526,0.004625161488850911,6.843051645290753e-05,100,3,sqrt,5,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__max_depth': 5}",0.14814814814814814,0.3333333333333333,0.43333333333333335,0.30493827160493825,0.11814498750884192,1
0.05524818102518717,0.00030423209277950547,0.004629214604695638,3.888603045816709e-05,100,2,1.0,3,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 2, 'clf__max_features': 1.0, 'clf__max_depth': 3}",0.0,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.18144368465060579,14
0.055503129959106445,0.0004122361341257226,0.004626274108886719,1.5049985925376575e-05,100,2,1.0,5,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 2, 'clf__max_features': 1.0, 'clf__max_depth': 5}",0.0,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.18144368465060579,14
0.16254846254984537,0.0009949939128871882,0.010993242263793945,0.00012110646898526213,300,2,1.0,2,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 2, 'clf__max_features': 1.0, 'clf__max_depth': 2}",0.1111111111111111,0.3333333333333333,0.4444444444444444,0.2962962962962963,0.13857990321384966,2
