model,version,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,per_class_precision,per_class_recall,per_class_f1,support,roc_auc_ovr,roc_auc_macro,ap_ovr,mAP,pr_auc_ovr,pr_auc_macro,confusion_matrix,seed
xgboost,untuned,0.4444444444444444,0.48214285714285715,0.4444444444444444,0.4579831932773109,0.48214285714285715,0.4444444444444444,0.45798319327731085,"[0.5714285714285714, 0.625, 0.25]","[0.4444444444444444, 0.5555555555555556, 0.3333333333333333]","[0.5, 0.5882352941176471, 0.2857142857142857]","[9, 9, 9]","[0.7222222222222222, 0.7469135802469136, 0.308641975308642]",0.5925925925925926,"[0.5074548907882241, 0.663888888888889, 0.27086754496174786]",0.4807371082129537,"[0.45924176538211625, 0.643957893957894, 0.24121206155626446]",0.44813724029875823,"[[4, 0, 5], [0, 5, 4], [3, 3, 3]]",42
xgboost,tuned,0.48148148148148145,0.4909090909090909,0.48148148148148145,0.4789473684210526,0.4909090909090909,0.48148148148148145,0.4789473684210526,"[0.5, 0.7, 0.2727272727272727]","[0.3333333333333333, 0.7777777777777778, 0.3333333333333333]","[0.4, 0.7368421052631579, 0.3]","[9, 9, 9]","[0.7407407407407408, 0.8333333333333334, 0.4012345679012346]",0.6584362139917695,"[0.5547623471536515, 0.7683799024378735, 0.3044024602848132]",0.5425149032921127,"[0.49723046009277894, 0.7551856222146078, 0.267182665211561]",0.5065329158396493,"[[3, 0, 6], [0, 7, 2], [3, 3, 3]]",42
dummy,untrained,0.25925925925925924,0.23137254901960783,0.2592592592592593,0.22344322344322345,0.23137254901960785,0.25925925925925924,0.22344322344322343,"[0.29411764705882354, 0.2, 0.2]","[0.5555555555555556, 0.1111111111111111, 0.1111111111111111]","[0.38461538461538464, 0.14285714285714285, 0.14285714285714285]","[9, 9, 9]","[0.4197530864197532, 0.4197530864197532, 0.4197530864197532]",0.4197530864197532,"[0.30108932461873633, 0.30108932461873633, 0.30108932461873633]",0.30108932461873633,"[0.31590413943355117, 0.31590413943355117, 0.31590413943355117]",0.31590413943355117,"[[5, 2, 2], [6, 1, 2], [6, 2, 1]]",42
logistic,untuned,0.18518518518518517,0.20634920634920637,0.1851851851851852,0.19351073762838467,0.20634920634920634,0.18518518518518517,0.19351073762838467,"[0.2857142857142857, 0.25, 0.08333333333333333]","[0.2222222222222222, 0.2222222222222222, 0.1111111111111111]","[0.25, 0.23529411764705882, 0.09523809523809523]","[9, 9, 9]","[0.5493827160493827, 0.5802469135802469, 0.1234567901234568]",0.4176954732510289,"[0.3708032708032708, 0.38047739005135695, 0.2227383350609895]",0.3246729986385391,"[0.33579661079661083, 0.33987994883359895, 0.1988656109689672]",0.2915140568663923,"[[2, 2, 5], [1, 2, 6], [4, 4, 1]]",43
logistic,tuned,0.2222222222222222,0.23665223665223667,0.22222222222222224,0.22777777777777775,0.23665223665223664,0.2222222222222222,0.2277777777777778,"[0.2857142857142857, 0.3333333333333333, 0.09090909090909091]","[0.2222222222222222, 0.3333333333333333, 0.1111111111111111]","[0.25, 0.3333333333333333, 0.1]","[9, 9, 9]","[0.5432098765432098, 0.5185185185185185, 0.17283950617283952]",0.4115226337448559,"[0.3720658970658971, 0.3698959464977772, 0.23685079011165966]",0.326270877891778,"[0.3368017449539189, 0.3242497208839695, 0.20858122657119832]",0.28987756413636223,"[[2, 2, 5], [1, 3, 5], [4, 4, 1]]",43
svm,untuned,0.4444444444444444,0.39999999999999997,0.4444444444444445,0.4142857142857143,0.4,0.4444444444444444,0.4142857142857142,"[0.45454545454545453, 0.5454545454545454, 0.2]","[0.5555555555555556, 0.6666666666666666, 0.1111111111111111]","[0.5, 0.6, 0.14285714285714285]","[9, 9, 9]","[0.7222222222222222, 0.6851851851851852, 0.4320987654320988]",0.6131687242798355,"[0.6365828787655414, 0.5189383482861744, 0.3074111382444716]",0.4876441217653958,"[0.6170460067776891, 0.471668026015852, 0.2735460881758611]",0.45408670698980075,"[[5, 2, 2], [1, 6, 2], [5, 3, 1]]",43
svm,tuned,0.3333333333333333,0.3,0.3333333333333333,0.3082706766917293,0.3,0.3333333333333333,0.3082706766917293,"[0.2, 0.5, 0.2]","[0.2222222222222222, 0.6666666666666666, 0.1111111111111111]","[0.21052631578947367, 0.5714285714285714, 0.14285714285714285]","[9, 9, 9]","[0.537037037037037, 0.654320987654321, 0.2592592592592592]",0.48353909465020567,"[0.3560322393655727, 0.4958072791406125, 0.26817713151046485]",0.3733388833388833,"[0.3186224577891244, 0.43871589748782736, 0.23007421657576457]",0.3291375239509054,"[[2, 3, 4], [3, 6, 0], [5, 3, 1]]",43
gnb,untuned,0.2962962962962963,0.35714285714285715,0.2962962962962963,0.31630434782608696,0.35714285714285715,0.2962962962962963,0.31630434782608696,"[0.42857142857142855, 0.5, 0.14285714285714285]","[0.3333333333333333, 0.3333333333333333, 0.2222222222222222]","[0.375, 0.4, 0.17391304347826086]","[9, 9, 9]","[0.5740740740740741, 0.5987654320987654, 0.26543209876543206]",0.47942386831275713,"[0.5314835563855171, 0.4768118333907807, 0.26293921724666103]",0.4237448690076529,"[0.5119053368563172, 0.41976394138674844, 0.23100973605247396]",0.38755967143184655,"[[3, 0, 6], [0, 3, 6], [4, 3, 2]]",43
gnb,tuned,0.2962962962962963,0.35555555555555557,0.2962962962962963,0.3116123642439432,0.35555555555555557,0.2962962962962963,0.3116123642439432,"[0.3, 0.6, 0.16666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.2222222222222222]","[0.3157894736842105, 0.42857142857142855, 0.19047619047619047]","[9, 9, 9]","[0.5555555555555556, 0.6172839506172839, 0.2777777777777778]",0.48353909465020567,"[0.5189436271789213, 0.4647881530234471, 0.26581814659617864]",0.41651664226618235,"[0.49978520390285097, 0.40746903242001287, 0.23346696950815943]",0.3802404019436744,"[[3, 0, 6], [2, 3, 4], [5, 2, 2]]",43
knn,untuned,0.4074074074074074,0.2948717948717949,0.40740740740740744,0.341991341991342,0.2948717948717949,0.4074074074074074,0.34199134199134196,"[0.5, 0.38461538461538464, 0.0]","[0.6666666666666666, 0.5555555555555556, 0.0]","[0.5714285714285714, 0.45454545454545453, 0.0]","[9, 9, 9]","[0.7438271604938271, 0.5895061728395061, 0.287037037037037]",0.5401234567901234,"[0.5203703703703704, 0.3807407407407407, 0.30158730158730157]",0.40089947089947087,"[0.5842592592592593, 0.382037037037037, 0.19841269841269843]",0.38823633156966486,"[[6, 3, 0], [2, 5, 2], [4, 5, 0]]",43
knn,tuned,0.48148148148148145,0.36130536130536123,0.48148148148148145,0.4121212121212121,0.36130536130536123,0.48148148148148145,0.4121212121212121,"[0.5454545454545454, 0.5384615384615384, 0.0]","[0.6666666666666666, 0.7777777777777778, 0.0]","[0.6, 0.6363636363636364, 0.0]","[9, 9, 9]","[0.7283950617283951, 0.7345679012345679, 0.35185185185185186]",0.6049382716049383,"[0.5033068783068784, 0.5232323232323232, 0.27725669392336055]",0.43459863182085395,"[0.5257071632071633, 0.5853586500645325, 0.24753888087221423]",0.45286823138130333,"[[6, 2, 1], [0, 7, 2], [5, 4, 0]]",43
random_forest,untuned,0.4444444444444444,0.38888888888888884,0.4444444444444444,0.41269841269841273,0.3888888888888889,0.4444444444444444,0.4126984126984127,"[0.6666666666666666, 0.5, 0.0]","[0.6666666666666666, 0.6666666666666666, 0.0]","[0.6666666666666666, 0.5714285714285714, 0.0]","[9, 9, 9]","[0.7654320987654321, 0.8055555555555556, 0.20987654320987653]",0.5936213991769548,"[0.5930911680911681, 0.7309449809449811, 0.2583053021778512]",0.5274471504046668,"[0.5324891466558133, 0.7289765789765792, 0.21814676449833717]",0.4932041633769099,"[[6, 0, 3], [0, 6, 3], [3, 6, 0]]",43
random_forest,tuned,0.37037037037037035,0.38181818181818183,0.3703703703703704,0.3684210526315789,0.3818181818181818,0.37037037037037035,0.368421052631579,"[0.5, 0.5454545454545454, 0.1]","[0.3333333333333333, 0.6666666666666666, 0.1111111111111111]","[0.4, 0.6, 0.10526315789473684]","[9, 9, 9]","[0.691358024691358, 0.7777777777777778, 0.17901234567901234]",0.5493827160493826,"[0.52502146002146, 0.6386650386650388, 0.2334198952826404]",0.46570213132304633,"[0.4678678728678729, 0.6094559761226428, 0.20888844882136937]",0.4287374326039617,"[[3, 0, 6], [0, 6, 3], [3, 5, 1]]",43
xgboost,untuned,0.4074074074074074,0.43452380952380953,0.4074074074074074,0.4163165266106443,0.43452380952380953,0.4074074074074074,0.4163165266106442,"[0.42857142857142855, 0.625, 0.25]","[0.3333333333333333, 0.5555555555555556, 0.3333333333333333]","[0.375, 0.5882352941176471, 0.2857142857142857]","[9, 9, 9]","[0.691358024691358, 0.8395061728395061, 0.35802469135802467]",0.6296296296296297,"[0.48068721402054737, 0.7759259259259261, 0.28457977207977203]",0.5137309706754152,"[0.43227482394149064, 0.7636695906432749, 0.25296723013828276]",0.4829705482410161,"[[3, 1, 5], [0, 5, 4], [4, 2, 3]]",43
xgboost,tuned,0.4074074074074074,0.39537037037037037,0.40740740740740744,0.40029813094828576,0.39537037037037037,0.4074074074074074,0.40029813094828576,"[0.375, 0.7, 0.1111111111111111]","[0.3333333333333333, 0.7777777777777778, 0.1111111111111111]","[0.35294117647058826, 0.7368421052631579, 0.1111111111111111]","[9, 9, 9]","[0.6111111111111112, 0.8518518518518519, 0.2962962962962963]",0.5864197530864198,"[0.4066965532651807, 0.7428892095558763, 0.26247812729124703]",0.47068796337076807,"[0.36443072130636633, 0.7243337721407896, 0.23581470080897998]",0.4415263980853786,"[[3, 0, 6], [0, 7, 2], [5, 3, 1]]",43
dummy,untrained,0.25925925925925924,0.23137254901960783,0.2592592592592593,0.22344322344322345,0.23137254901960785,0.25925925925925924,0.22344322344322343,"[0.29411764705882354, 0.2, 0.2]","[0.5555555555555556, 0.1111111111111111, 0.1111111111111111]","[0.38461538461538464, 0.14285714285714285, 0.14285714285714285]","[9, 9, 9]","[0.4197530864197532, 0.4197530864197532, 0.4197530864197532]",0.4197530864197532,"[0.30108932461873633, 0.30108932461873633, 0.30108932461873633]",0.30108932461873633,"[0.31590413943355117, 0.31590413943355117, 0.31590413943355117]",0.31590413943355117,"[[5, 2, 2], [6, 1, 2], [6, 2, 1]]",43
logistic,untuned,0.4074074074074074,0.42424242424242425,0.4074074074074074,0.4087719298245614,0.4242424242424242,0.4074074074074074,0.40877192982456134,"[0.5, 0.5, 0.2727272727272727]","[0.5555555555555556, 0.3333333333333333, 0.3333333333333333]","[0.5263157894736842, 0.4, 0.3]","[9, 9, 9]","[0.6172839506172839, 0.5987654320987654, 0.27777777777777773]",0.49794238683127573,"[0.4621509744316762, 0.4176740325759934, 0.2668959013695856]",0.3822403027924184,"[0.40485847619490556, 0.3706366364209501, 0.23419657806385497]",0.3365638968932369,"[[5, 1, 3], [1, 3, 5], [4, 2, 3]]",44
logistic,tuned,0.37037037037037035,0.3761904761904762,0.3703703703703704,0.37061403508771934,0.37619047619047624,0.37037037037037035,0.3706140350877193,"[0.5, 0.42857142857142855, 0.2]","[0.5555555555555556, 0.3333333333333333, 0.2222222222222222]","[0.5263157894736842, 0.375, 0.21052631578947367]","[9, 9, 9]","[0.5864197530864197, 0.6358024691358024, 0.3395061728395061]",0.5205761316872427,"[0.43380385047051717, 0.4559251478369125, 0.36050017520605754]",0.41674305783782906,"[0.37763040890233873, 0.40774906828828394, 0.33948213135906635]",0.374953869516563,"[[5, 1, 3], [1, 3, 5], [4, 3, 2]]",44
svm,untuned,0.4074074074074074,0.3333333333333333,0.40740740740740744,0.3666666666666667,0.3333333333333333,0.4074074074074074,0.36666666666666664,"[0.45454545454545453, 0.5454545454545454, 0.0]","[0.5555555555555556, 0.6666666666666666, 0.0]","[0.5, 0.6, 0.0]","[9, 9, 9]","[0.7283950617283952, 0.691358024691358, 0.4012345679012346]",0.6069958847736626,"[0.5786562203228869, 0.5275571449484493, 0.29948092031425366]",0.4685647618618633,"[0.5488321137830943, 0.4707530794487317, 0.26741115041553637]",0.4289987812157874,"[[5, 2, 2], [0, 6, 3], [6, 3, 0]]",44
svm,tuned,0.5555555555555556,0.5454545454545454,0.5555555555555556,0.5470588235294117,0.5454545454545454,0.5555555555555556,0.5470588235294117,"[0.6363636363636364, 0.625, 0.375]","[0.7777777777777778, 0.5555555555555556, 0.3333333333333333]","[0.7, 0.5882352941176471, 0.35294117647058826]","[9, 9, 9]","[0.8395061728395061, 0.7160493827160495, 0.5308641975308642]",0.6954732510288065,"[0.6931268803817823, 0.6678554551361569, 0.46992143658810326]",0.6103012573686808,"[0.6649496835771345, 0.6533030871395165, 0.4412116554660414]",0.5864881420608975,"[[7, 1, 1], [0, 5, 4], [4, 2, 3]]",44
gnb,untuned,0.4074074074074074,0.3898148148148148,0.40740740740740744,0.39789015021213164,0.3898148148148148,0.4074074074074074,0.39789015021213164,"[0.6, 0.4444444444444444, 0.125]","[0.6666666666666666, 0.4444444444444444, 0.1111111111111111]","[0.631578947368421, 0.4444444444444444, 0.11764705882352941]","[9, 9, 9]","[0.7716049382716049, 0.5802469135802469, 0.35802469135802467]",0.5699588477366255,"[0.7004985754985755, 0.42113047770942513, 0.36451395372963996]",0.4953810023125469,"[0.6823909423909424, 0.36514532060870736, 0.34359276477383444]",0.46370967592449475,"[[6, 1, 2], [0, 4, 5], [4, 4, 1]]",44
gnb,tuned,0.4444444444444444,0.40404040404040403,0.4444444444444445,0.41988304093567247,0.40404040404040403,0.4444444444444444,0.4198830409356724,"[0.5454545454545454, 0.5, 0.16666666666666666]","[0.6666666666666666, 0.5555555555555556, 0.1111111111111111]","[0.6, 0.5263157894736842, 0.13333333333333333]","[9, 9, 9]","[0.7592592592592593, 0.6049382716049383, 0.30246913580246915]",0.5555555555555556,"[0.6912393162393162, 0.41105900272566936, 0.3486687268151799]",0.48365568192672176,"[0.6730993080993082, 0.365118925626172, 0.3296864744995942]",0.4559682360750248,"[[6, 1, 2], [1, 5, 3], [4, 4, 1]]",44
knn,untuned,0.4074074074074074,0.2948717948717949,0.40740740740740744,0.341991341991342,0.2948717948717949,0.4074074074074074,0.34199134199134196,"[0.5, 0.38461538461538464, 0.0]","[0.6666666666666666, 0.5555555555555556, 0.0]","[0.5714285714285714, 0.45454545454545453, 0.0]","[9, 9, 9]","[0.7283950617283951, 0.617283950617284, 0.4444444444444444]",0.5967078189300412,"[0.5118233618233619, 0.39634439634439633, 0.33134920634920634]",0.41317232150565486,"[0.5735754985754985, 0.41029341029341027, 0.2757936507936508]",0.4198875198875198,"[[6, 3, 0], [2, 5, 2], [4, 5, 0]]",44
knn,tuned,0.4444444444444444,0.4292929292929293,0.4444444444444445,0.43099415204678354,0.4292929292929293,0.4444444444444444,0.43099415204678365,"[0.5, 0.45454545454545453, 0.3333333333333333]","[0.5555555555555556, 0.5555555555555556, 0.2222222222222222]","[0.5263157894736842, 0.5, 0.26666666666666666]","[9, 9, 9]","[0.6913580246913581, 0.5246913580246914, 0.5308641975308642]",0.5823045267489713,"[0.5173961840628507, 0.35373977873977874, 0.3888888888888889]",0.42000828389717276,"[0.49887766554433216, 0.3306758056758057, 0.4287037037037037]",0.4194190583079472,"[[5, 3, 1], [1, 5, 3], [4, 3, 2]]",44
random_forest,untuned,0.4444444444444444,0.37878787878787873,0.4444444444444445,0.4087719298245614,0.3787878787878788,0.4444444444444444,0.4087719298245614,"[0.6363636363636364, 0.5, 0.0]","[0.7777777777777778, 0.5555555555555556, 0.0]","[0.7, 0.5263157894736842, 0.0]","[9, 9, 9]","[0.75, 0.8271604938271605, 0.12654320987654322]",0.5679012345679012,"[0.6249093499093499, 0.7492645755803651, 0.22269881282242748]",0.5322909127707142,"[0.49072627989294654, 0.7480008944921226, 0.20207731140382462]",0.48026816192963123,"[[7, 0, 2], [0, 5, 4], [4, 5, 0]]",44
random_forest,tuned,0.4444444444444444,0.4204545454545454,0.4444444444444445,0.4294117647058823,0.4204545454545454,0.4444444444444444,0.4294117647058823,"[0.6363636363636364, 0.5, 0.125]","[0.7777777777777778, 0.4444444444444444, 0.1111111111111111]","[0.7, 0.47058823529411764, 0.11764705882352941]","[9, 9, 9]","[0.7685185185185185, 0.8117283950617283, 0.1790123456790124]",0.5864197530864198,"[0.5915973460091107, 0.7468873718873719, 0.2506909460570788]",0.5297252213178537,"[0.5406509657735148, 0.7315239711978843, 0.2151381963376624]",0.49577104443635384,"[[7, 0, 2], [0, 4, 5], [4, 4, 1]]",44
xgboost,untuned,0.4444444444444444,0.4648148148148148,0.4444444444444445,0.4536177043916982,0.46481481481481485,0.4444444444444444,0.45361770439169824,"[0.4444444444444444, 0.75, 0.2]","[0.4444444444444444, 0.6666666666666666, 0.2222222222222222]","[0.4444444444444444, 0.7058823529411765, 0.21052631578947367]","[9, 9, 9]","[0.6481481481481481, 0.8395061728395061, 0.27777777777777773]",0.588477366255144,"[0.42127625460958795, 0.8152116402116403, 0.25914898903031]",0.4985456279505127,"[0.3824777890954361, 0.8068440215179347, 0.22962815003696457]",0.4729833202167784,"[[4, 0, 5], [0, 6, 3], [5, 2, 2]]",44
xgboost,tuned,0.5555555555555556,0.5454545454545454,0.5555555555555556,0.5470588235294117,0.5454545454545454,0.5555555555555556,0.5470588235294117,"[0.625, 0.6363636363636364, 0.375]","[0.5555555555555556, 0.7777777777777778, 0.3333333333333333]","[0.5882352941176471, 0.7, 0.35294117647058826]","[9, 9, 9]","[0.7160493827160493, 0.8641975308641975, 0.30864197530864196]",0.6296296296296297,"[0.5180976430976432, 0.8227852394519062, 0.26910761428305285]",0.5366634989442007,"[0.47013714842662213, 0.8140381223714557, 0.24050584892690155]",0.5082270399083265,"[[5, 1, 3], [0, 7, 2], [3, 3, 3]]",44
dummy,untrained,0.25925925925925924,0.23137254901960783,0.2592592592592593,0.22344322344322345,0.23137254901960785,0.25925925925925924,0.22344322344322343,"[0.29411764705882354, 0.2, 0.2]","[0.5555555555555556, 0.1111111111111111, 0.1111111111111111]","[0.38461538461538464, 0.14285714285714285, 0.14285714285714285]","[9, 9, 9]","[0.4197530864197532, 0.4197530864197532, 0.4197530864197532]",0.4197530864197532,"[0.30108932461873633, 0.30108932461873633, 0.30108932461873633]",0.30108932461873633,"[0.31590413943355117, 0.31590413943355117, 0.31590413943355117]",0.31590413943355117,"[[5, 2, 2], [6, 1, 2], [6, 2, 1]]",44
